read	cluster	cluster_size	type
ecaf5d39-cac5-4fb4-a493-9f74cfff760e	124	1	annotated
494edeac-90ec-4c36-aaa0-4e00bbf763b2	125	1	annotated
1f22f5d7-42a1-41bd-a802-892ef1a2c8b5	126	1	annotated
432e34f5-6b27-4b2e-8049-cc9ae40070b0	127	1	annotated
d9ca6f1b-e4d4-4630-a183-5a90a198a15c	128	1	annotated
69c33077-e6d7-4273-b7c0-79034351b72c	129	1	annotated
1eb21ff2-a246-47ba-b900-1c1f10e10799	130	1	annotated
361ae1f7-38c3-4fb8-8d18-6615c26fa578	131	1	annotated
361ae1f7-38c3-4fb8-8d18-6615c26fa578	131	1	annotated
361ae1f7-38c3-4fb8-8d18-6615c26fa578	132	1	annotated
361ae1f7-38c3-4fb8-8d18-6615c26fa578	132	1	annotated
56ce1560-78a0-4533-b7c7-5b312bd31df7	133	1	annotated
537d5b45-f92f-486d-8652-0e2f55c329dc	134	1	annotated
830478f4-75cb-4f20-aabd-289f767194a0	135	1	annotated
54512166-3c76-4eeb-8370-a02dbda992fa	136	2	annotated
75116d28-5dfb-4113-aa70-ab766b115075	136	2	annotated
88728832-bbcc-4bdf-8b19-e4a0f1c6e77f	137	1	annotated
813c7f31-a25f-4eda-b063-95779b1c3379	138	1	NA
813c7f31-a25f-4eda-b063-95779b1c3379	139	1	NA
e35cc0e5-b7aa-4062-b616-cb0fb1e84511	140	1	annotated
1b042bc4-7992-4b11-ac4e-228c65d70e1c	141	1	annotated
a793b41c-66b1-4ebc-a347-2f92fc17b76b	142	1	annotated
176474e2-acc5-4d52-af62-bb9492c1e371	143	1	annotated
ac877444-de13-4f69-83e8-a32f75931a0f	144	1	annotated
e9ded3e4-4a95-4601-9649-59ec9a4a27ac	145	1	annotated
b916be10-00c3-4d3e-99aa-f708c3c393eb	146	1	annotated
36295893-796d-4b39-95c0-55b90771759b	147	1	annotated
50e3383a-4411-4bbf-92ae-d7a367c7cdff	148	1	annotated
23c78dcb-52a7-470e-b247-450c4a726f78	149	1	annotated
c1a74d5b-cfb4-4b23-a919-39d67d6adeeb	150	1	annotated
b526271b-5db8-4031-ab03-308b8fbbd482	151	1	annotated
ec860a2e-54d4-4111-ba45-0a96bdcd5b22	152	1	annotated
f299c95d-bd86-4323-810c-24ae00ae9b9b	153	1	annotated
6d9361ed-b1f8-43c4-bfda-817f67609140	154	1	annotated
d1fbdba3-a148-4ca8-a922-88255c59416c	155	1	annotated
d1fbdba3-a148-4ca8-a922-88255c59416c	155	1	annotated
d1fbdba3-a148-4ca8-a922-88255c59416c	155	1	annotated
d1fbdba3-a148-4ca8-a922-88255c59416c	155	1	annotated
d1fbdba3-a148-4ca8-a922-88255c59416c	155	1	annotated
d1fbdba3-a148-4ca8-a922-88255c59416c	155	1	annotated
d1fbdba3-a148-4ca8-a922-88255c59416c	155	1	annotated
d1fbdba3-a148-4ca8-a922-88255c59416c	155	1	annotated
d1fbdba3-a148-4ca8-a922-88255c59416c	155	1	annotated
1cc1ea53-7dce-4964-b0f0-996e915e9108	156	1	annotated
c09d277c-4e24-4c97-843a-b3e4fd69a2df	157	1	annotated
c09d277c-4e24-4c97-843a-b3e4fd69a2df	157	1	annotated
c09d277c-4e24-4c97-843a-b3e4fd69a2df	158	1	annotated
c09d277c-4e24-4c97-843a-b3e4fd69a2df	158	1	annotated
c94ecb17-86d3-4c78-93c8-5103036a360c	159	6	annotated
9b2baae3-ce5e-424d-bd10-5e9d41e54304	159	6	annotated
7ddbc8e6-81df-4d9d-b0d5-e161bc277d7c	159	6	annotated
5436072f-1389-4c08-bced-d216dc4f57bc	159	6	annotated
ffa9b214-7ec9-4531-a542-ad7ffccd6232	159	6	annotated
9d0d0a0b-9a10-487a-a42b-1a89b3f45b98	159	6	annotated
1c1c9c0d-3761-4efb-a9a7-2f3b52e9d90b	160	1	annotated
e7af88cf-47a9-40f0-ab9d-35f1db4301f9	161	1	annotated
ffa9d61c-53ab-4025-8b32-2d8630c6b132	162	1	annotated
fc3ca568-4219-4578-959b-cb88221aebea	163	1	NA
8becb235-c0a1-450f-8062-2761101fa547	164	1	annotated
c457f8b5-2613-4505-a2ad-555fea2f7fe3	165	2	annotated
d52a0868-84de-4d3f-be60-d0eee0b3c5b9	165	2	annotated
8daffcd2-0e71-44b3-9843-56e1471fea85	166	1	annotated
f4e6766a-4b5d-4a06-9734-bda1aa5e4817	167	1	annotated
1e77b00c-dd8b-4411-a27f-d74c784dad61	168	1	annotated
